Connecticut,4/5/21,37400,37400
Maine,4/5/21,14300,14300
Massachusetts,4/5/21,72100,72100
New Hampshire,4/5/21,14300,14300
Rhode Island,4/5/21,11300,11300
Vermont,4/5/21,6700,6700
New Jersey,4/5/21,91300,91300
New York,4/5/21,116300,116300
New York City,4/5/21,88300,88300
Puerto Rico,4/5/21,35700,35700
U.S. Virgin Islands,4/5/21,1100,1100
Delaware,4/5/21,9900,9900
District of Columbia,4/5/21,7500,7500
Maryland,4/5/21,61600,61600
Pennsylvania,4/5/21,117500,117500
Philadelphia,4/5/21,16300,16300
Virginia,4/5/21,86500,86500
West Virginia,4/5/21,19300,19300
Alabama,4/5/21,49800,49800
Florida,4/5/21,217400,217400
Georgia,4/5/21,103000,103000
Kentucky,4/5/21,45300,45300
Mississippi,4/5/21,30000,30000
North Carolina,4/5/21,103900,103900
South Carolina,4/5/21,51000,51000
Tennessee,4/5/21,68100,68100
Chicago,4/5/21,27700,27700
Illinois,4/5/21,103100,103100
Indiana,4/5/21,66900,66900
Michigan,4/5/21,102600,102600
Minnesota,4/5/21,56200,56200
Ohio,4/5/21,119300,119300
Wisconsin,4/5/21,59700,59700
Arkansas,4/5/21,30200,30200
Louisiana,4/5/21,47000,47000
New Mexico,4/5/21,21400,21400
Oklahoma,4/5/21,39200,39200
Texas,4/5/21,272100,272100
Iowa,4/5/21,31800,31800
Kansas,4/5/21,29000,29000
Missouri,4/5/21,62200,62200
Nebraska,4/5/21,19200,19200
Colorado,4/5/21,56500,56500
Montana,4/5/21,10800,10800
North Dakota,4/5/21,7800,7800
South Dakota,4/5/21,8700,8700
Utah,4/5/21,28300,28300
Wyoming,4/5/21,5900,5900
Arizona,4/5/21,70600,70600
California,4/5/21,397400,397400
Hawaii,4/5/21,14800,14800
Nevada,4/5/21,29800,29800
American Samoa,4/5/21,0,0
Guam,4/5/21,0,0
Marshall Islands,4/5/21,0,0
Micronesia,4/5/21,0,0
Mariana Islands,4/5/21,0,0
Palau,4/5/21,0,0
Alaska,4/5/21,0,0
Idaho,4/5/21,16600,16600
Oregon,4/5/21,42700,42700
Washington,4/5/21,75700,75700
Federal Entities,4/5/21,143000,143000
Connecticut,3/29/21,35800,35800
Maine,3/29/21,13700,13700
Massachusetts,3/29/21,69000,69000
New Hampshire,3/29/21,13700,13700
Rhode Island,3/29/21,10800,10800
Vermont,3/29/21,6500,6500
New Jersey,3/29/21,87400,87400
New York,3/29/21,111300,111300
New York City,3/29/21,84500,84500
Puerto Rico,3/29/21,34200,34200
U.S. Virgin Islands,3/29/21,1100,1100
Delaware,3/29/21,9500,9500
District of Columbia,3/29/21,7200,7200
Maryland,3/29/21,59000,59000
Pennsylvania,3/29/21,112400,112400
Philadelphia,3/29/21,15600,15600
Virginia,3/29/21,82800,82800
West Virginia,3/29/21,18500,18500
Alabama,3/29/21,47700,47700
Florida,3/29/21,208000,208000
Georgia,3/29/21,98600,98600
Kentucky,3/29/21,43400,43400
Mississippi,3/29/21,28700,28700
North Carolina,3/29/21,99500,99500
South Carolina,3/29/21,48800,48800
Tennessee,3/29/21,65200,65200
Chicago,3/29/21,26500,26500
Illinois,3/29/21,98700,98700
Indiana,3/29/21,64100,64100
Michigan,3/29/21,98200,98200
Minnesota,3/29/21,53800,53800
Ohio,3/29/21,114100,114100
Wisconsin,3/29/21,57100,57100
Arkansas,3/29/21,28900,28900
Louisiana,3/29/21,45000,45000
New Mexico,3/29/21,20500,20500
Oklahoma,3/29/21,37500,37500
Texas,3/29/21,260400,260400
Iowa,3/29/21,30400,30400
Kansas,3/29/21,27800,27800
Missouri,3/29/21,59500,59500
Nebraska,3/29/21,18400,18400
Colorado,3/29/21,54100,54100
Montana,3/29/21,10400,10400
North Dakota,3/29/21,7500,7500
South Dakota,3/29/21,8300,8300
Utah,3/29/21,27100,27100
Wyoming,3/29/21,5700,5700
Arizona,3/29/21,67600,67600
California,3/29/21,380300,380300
Hawaii,3/29/21,14200,14200
Nevada,3/29/21,28500,28500
American Samoa,3/29/21,5000,0
Guam,3/29/21,15000,0
Marshall Islands,3/29/21,16800,0
Micronesia,3/29/21,22600,0
Mariana Islands,3/29/21,5000,0
Palau,3/29/21,6200,0
Alaska,3/29/21,52500,52500
Idaho,3/29/21,15800,15800
Oregon,3/29/21,40800,40800
Washington,3/29/21,72400,72400
Federal Entities,3/29/21,143000,143000
Connecticut,3/22/21,35800,35800
Maine,3/22/21,13700,13700
Massachusetts,3/22/21,69000,69000
New Hampshire,3/22/21,13700,13700
Rhode Island,3/22/21,10800,10800
Vermont,3/22/21,6500,6500
New Jersey,3/22/21,87400,87400
New York,3/22/21,111300,111300
New York City,3/22/21,84500,84500
Puerto Rico,3/22/21,34200,34200
U.S. Virgin Islands,3/22/21,1100,1100
Delaware,3/22/21,9500,9500
District of Columbia,3/22/21,7200,7200
Maryland,3/22/21,59000,59000
Pennsylvania,3/22/21,112400,112400
Philadelphia,3/22/21,15600,15600
Virginia,3/22/21,82800,82800
West Virginia,3/22/21,18500,18500
Alabama,3/22/21,47700,47700
Florida,3/22/21,208000,208000
Georgia,3/22/21,98600,98600
Kentucky,3/22/21,43400,43400
Mississippi,3/22/21,28700,28700
North Carolina,3/22/21,99500,99500
South Carolina,3/22/21,48800,48800
Tennessee,3/22/21,65200,65200
Chicago,3/22/21,26500,26500
Illinois,3/22/21,98700,98700
Indiana,3/22/21,64100,64100
Michigan,3/22/21,98200,98200
Minnesota,3/22/21,53800,53800
Ohio,3/22/21,114100,114100
Wisconsin,3/22/21,57100,57100
Arkansas,3/22/21,28900,28900
Louisiana,3/22/21,45000,45000
New Mexico,3/22/21,20500,20500
Oklahoma,3/22/21,37500,37500
Texas,3/22/21,260400,260400
Iowa,3/22/21,30400,30400
Kansas,3/22/21,27800,27800
Missouri,3/22/21,59500,59500
Nebraska,3/22/21,18400,18400
Colorado,3/22/21,54100,54100
Montana,3/22/21,10400,10400
North Dakota,3/22/21,7500,7500
South Dakota,3/22/21,8300,8300
Utah,3/22/21,27100,27100
Wyoming,3/22/21,5700,5700
Arizona,3/22/21,67600,67600
California,3/22/21,380300,380300
Hawaii,3/22/21,14200,14200
Nevada,3/22/21,28500,28500
American Samoa,3/22/21,0,0
Guam,3/22/21,0,0
Marshall Islands,3/22/21,0,0
Micronesia,3/22/21,0,0
Mariana Islands,3/22/21,0,0
Palau,3/22/21,0,0
Alaska,3/22/21,0,0
Idaho,3/22/21,15800,15800
Oregon,3/22/21,40800,40800
Washington,3/22/21,72400,72400
Federal Entities,3/22/21,143000,143000
Connecticut,3/15/21,35800,35800
Maine,3/15/21,13700,13700
Massachusetts,3/15/21,69000,69000
New Hampshire,3/15/21,13700,13700
Rhode Island,3/15/21,10800,10800
Vermont,3/15/21,6500,6500
New Jersey,3/15/21,87400,87400
New York,3/15/21,111300,111300
New York City,3/15/21,84500,84500
Puerto Rico,3/15/21,34200,34200
U.S. Virgin Islands,3/15/21,1100,1100
Delaware,3/15/21,9500,9500
District of Columbia,3/15/21,7200,7200
Maryland,3/15/21,59000,59000
Pennsylvania,3/15/21,112400,112400
Philadelphia,3/15/21,15600,15600
Virginia,3/15/21,82800,82800
West Virginia,3/15/21,18500,18500
Alabama,3/15/21,47700,47700
Florida,3/15/21,208000,208000
Georgia,3/15/21,98600,98600
Kentucky,3/15/21,43400,43400
Mississippi,3/15/21,28700,28700
North Carolina,3/15/21,99500,99500
South Carolina,3/15/21,48800,48800
Tennessee,3/15/21,65200,65200
Chicago,3/15/21,26500,26500
Illinois,3/15/21,98700,98700
Indiana,3/15/21,64100,64100
Michigan,3/15/21,98200,98200
Minnesota,3/15/21,53800,53800
Ohio,3/15/21,114100,114100
Wisconsin,3/15/21,57100,57100
Arkansas,3/15/21,28900,28900
Louisiana,3/15/21,45000,45000
New Mexico,3/15/21,20500,20500
Oklahoma,3/15/21,37500,37500
Texas,3/15/21,260400,260400
Iowa,3/15/21,30400,30400
Kansas,3/15/21,27800,27800
Missouri,3/15/21,59500,59500
Nebraska,3/15/21,18400,18400
Colorado,3/15/21,54100,54100
Montana,3/15/21,10400,10400
North Dakota,3/15/21,7500,7500
South Dakota,3/15/21,8300,8300
Utah,3/15/21,27100,27100
Wyoming,3/15/21,5700,5700
Arizona,3/15/21,67600,67600
California,3/15/21,380300,380300
Hawaii,3/15/21,14200,14200
Nevada,3/15/21,28500,28500
American Samoa,3/15/21,0,0
Guam,3/15/21,0,0
Marshall Islands,3/15/21,0,0
Micronesia,3/15/21,0,0
Mariana Islands,3/15/21,0,0
Palau,3/15/21,0,0
Alaska,3/15/21,0,0
Idaho,3/15/21,15800,15800
Oregon,3/15/21,40800,40800
Washington,3/15/21,72400,72400
Federal Entities,3/15/21,143000,143000
Connecticut,3/8/21,35800,35800
Maine,3/8/21,13700,13700
Massachusetts,3/8/21,69000,69000
New Hampshire,3/8/21,13700,13700
Rhode Island,3/8/21,10800,10800
Vermont,3/8/21,6500,6500
New Jersey,3/8/21,87400,87400
New York,3/8/21,111300,111300
New York City,3/8/21,84500,84500
Puerto Rico,3/8/21,34200,34200
U.S. Virgin Islands,3/8/21,1100,1100
Delaware,3/8/21,9500,9500
District of Columbia,3/8/21,7200,7200
Maryland,3/8/21,59000,59000
Pennsylvania,3/8/21,112400,112400
Philadelphia,3/8/21,15600,15600
Virginia,3/8/21,82800,82800
West Virginia,3/8/21,18500,18500
Alabama,3/8/21,47700,47700
Florida,3/8/21,208000,208000
Georgia,3/8/21,98600,98600
Kentucky,3/8/21,43400,43400
Mississippi,3/8/21,28700,28700
North Carolina,3/8/21,99500,99500
South Carolina,3/8/21,48800,48800
Tennessee,3/8/21,65200,65200
Chicago,3/8/21,26500,26500
Illinois,3/8/21,98700,98700
Indiana,3/8/21,64100,64100
Michigan,3/8/21,98200,98200
Minnesota,3/8/21,53800,53800
Ohio,3/8/21,114100,114100
Wisconsin,3/8/21,57100,57100
Arkansas,3/8/21,28900,28900
Louisiana,3/8/21,45000,45000
New Mexico,3/8/21,20500,20500
Oklahoma,3/8/21,37500,37500
Texas,3/8/21,260400,260400
Iowa,3/8/21,30400,30400
Kansas,3/8/21,27800,27800
Missouri,3/8/21,59500,59500
Nebraska,3/8/21,18400,18400
Colorado,3/8/21,54100,54100
Montana,3/8/21,10400,10400
North Dakota,3/8/21,7500,7500
South Dakota,3/8/21,8300,8300
Utah,3/8/21,27100,27100
Wyoming,3/8/21,5700,5700
Arizona,3/8/21,67600,67600
California,3/8/21,380300,380300
Hawaii,3/8/21,14200,14200
Nevada,3/8/21,28500,28500
American Samoa,3/8/21,0,0
Guam,3/8/21,0,0
Marshall Islands,3/8/21,0,0
Micronesia,3/8/21,0,0
Mariana Islands,3/8/21,0,0
Palau,3/8/21,0,0
Alaska,3/8/21,0,0
Idaho,3/8/21,15800,15800
Oregon,3/8/21,40800,40800
Washington,3/8/21,72400,72400
Federal Entities,3/8/21,197900,193500
Alabama,3/1/21,47700,47700
Alaska,3/1/21,49300,49300
American Samoa,3/1/21,4400,0
Arizona,3/1/21,67600,67600
Arkansas,3/1/21,28900,28900
California,3/1/21,380300,380300
Chicago,3/1/21,26500,26500
Colorado,3/1/21,54100,54100
Connecticut,3/1/21,35800,35800
Delaware,3/1/21,9500,9500
District of Columbia,3/1/21,7200,7200
Federal Entities,3/1/21,180500,163500
Florida,3/1/21,208000,208000
Georgia,3/1/21,98600,98600
Guam,3/1/21,14200,0
Hawaii,3/1/21,14200,14200
Idaho,3/1/21,15800,15800
