Connecticut,4/5/21,50310,50310
Maine,4/5/21,19890,19890
Massachusetts,4/5/21,95940,95940
New Hampshire,4/5/21,19890,19890
Rhode Island,4/5/21,15210,15210
Vermont,4/5/21,9360,9360
New Jersey,4/5/21,120510,120510
New York,4/5/21,153270,153270
New York City,4/5/21,117000,117000
Puerto Rico,4/5/21,47970,47970
U.S. Virgin Islands,4/5/21,2340,2340
Delaware,4/5/21,14040,14040
District of Columbia,4/5/21,10530,10530
Maryland,4/5/21,81900,81900
Pennsylvania,4/5/21,155610,155610
Philadelphia,4/5/21,22230,22230
Virginia,4/5/21,114660,114660
West Virginia,4/5/21,25740,25740
Alabama,4/5/21,66690,66690
Florida,4/5/21,286650,286650
Georgia,4/5/21,136890,136890
Kentucky,4/5/21,60840,60840
Mississippi,4/5/21,39780,39780
North Carolina,4/5/21,138060,138060
South Carolina,4/5/21,67860,67860
Tennessee,4/5/21,90090,90090
Chicago,4/5/21,37440,37440
Illinois,4/5/21,136890,136890
Indiana,4/5/21,88920,88920
Michigan,4/5/21,135720,135720
Minnesota,4/5/21,74880,74880
Ohio,4/5/21,157950,157950
Wisconsin,4/5/21,79560,79560
Arkansas,4/5/21,39780,39780
Louisiana,4/5/21,62010,62010
New Mexico,4/5/21,29250,29250
Oklahoma,4/5/21,52650,52650
Texas,4/5/21,359190,359190
Iowa,4/5/21,42120,42120
Kansas,4/5/21,38610,38610
Missouri,4/5/21,83070,83070
Nebraska,4/5/21,25740,25740
Colorado,4/5/21,74880,74880
Montana,4/5/21,15210,15210
North Dakota,4/5/21,10530,10530
South Dakota,4/5/21,11700,11700
Utah,4/5/21,37440,37440
Wyoming,4/5/21,8190,8190
Arizona,4/5/21,93600,93600
California,4/5/21,524160,524160
Hawaii,4/5/21,19890,19890
Nevada,4/5/21,39780,39780
American Samoa,4/5/21,0,0
Guam,4/5/21,0,0
Marshall Islands,4/5/21,0,0
Micronesia,4/5/21,0,0
Mariana Islands,4/5/21,0,0
Palau,4/5/21,0,0
Alaska,4/5/21,0,0
Idaho,4/5/21,22230,22230
Oregon,4/5/21,57330,57330
Washington,4/5/21,100620,100620
Federal Entities,4/5/21,243360,243360
Connecticut,3/29/21,60840,60840
Maine,3/29/21,23400,23400
Massachusetts,3/29/21,117000,117000
New Hampshire,3/29/21,23400,23400
Rhode Island,3/29/21,18720,18720
Vermont,3/29/21,11700,11700
New Jersey,3/29/21,148590,148590
New York,3/29/21,188370,188370
New York City,3/29/21,143910,143910
Puerto Rico,3/29/21,58500,58500
U.S. Virgin Islands,3/29/21,2340,2340
Delaware,3/29/21,16380,16380
District of Columbia,3/29/21,12870,12870
Maryland,3/29/21,100620,100620
Pennsylvania,3/29/21,190710,190710
Philadelphia,3/29/21,26910,26910
Virginia,3/29/21,140400,140400
West Virginia,3/29/21,31590,31590
Alabama,3/29/21,80730,80730
Florida,3/29/21,352170,352170
Georgia,3/29/21,167310,167310
Kentucky,3/29/21,73710,73710
Mississippi,3/29/21,49140,49140
North Carolina,3/29/21,168480,168480
South Carolina,3/29/21,83070,83070
Tennessee,3/29/21,111150,111150
Chicago,3/29/21,45630,45630
Illinois,3/29/21,167310,167310
Indiana,3/29/21,108810,108810
Michigan,3/29/21,166140,166140
Minnesota,3/29/21,91260,91260
Ohio,3/29/21,194220,194220
Wisconsin,3/29/21,97110,97110
Arkansas,3/29/21,49140,49140
Louisiana,3/29/21,77220,77220
New Mexico,3/29/21,35100,35100
Oklahoma,3/29/21,64350,64350
Texas,3/29/21,441090,441090
Iowa,3/29/21,51480,51480
Kansas,3/29/21,47970,47970
Missouri,3/29/21,101790,101790
Nebraska,3/29/21,31590,31590
Colorado,3/29/21,92430,92430
Montana,3/29/21,17550,17550
North Dakota,3/29/21,12870,12870
South Dakota,3/29/21,14040,14040
Utah,3/29/21,46800,46800
Wyoming,3/29/21,10530,10530
Arizona,3/29/21,114660,114660
California,3/29/21,644670,644670
Hawaii,3/29/21,24570,24570
Nevada,3/29/21,49140,49140
American Samoa,3/29/21,11700,0
Guam,3/29/21,25740,0
Marshall Islands,3/29/21,0,0
Micronesia,3/29/21,0,0
Mariana Islands,3/29/21,11700,0
Palau,3/29/21,0,0
Alaska,3/29/21,91260,79560
Idaho,3/29/21,26910,26910
Oregon,3/29/21,70200,70200
Washington,3/29/21,122850,122850
Federal Entities,3/29/21,201240,201240
Connecticut,3/22/21,50310,50310
Maine,3/22/21,19890,19890
Massachusetts,3/22/21,95940,95940
New Hampshire,3/22/21,19890,19890
Rhode Island,3/22/21,15210,15210
Vermont,3/22/21,9360,9360
New Jersey,3/22/21,120510,120510
New York,3/22/21,153270,153270
New York City,3/22/21,117000,117000
Puerto Rico,3/22/21,47970,47970
U.S. Virgin Islands,3/22/21,2340,2340
Delaware,3/22/21,14040,14040
District of Columbia,3/22/21,10530,10530
Maryland,3/22/21,81900,81900
Pennsylvania,3/22/21,155610,155610
Philadelphia,3/22/21,22230,22230
Virginia,3/22/21,114660,114660
West Virginia,3/22/21,25740,25740
Alabama,3/22/21,66690,66690
Florida,3/22/21,286650,286650
Georgia,3/22/21,136890,136890
Kentucky,3/22/21,60840,60840
Mississippi,3/22/21,39780,39780
North Carolina,3/22/21,138060,138060
South Carolina,3/22/21,67860,67860
Tennessee,3/22/21,90090,90090
Chicago,3/22/21,37440,37440
Illinois,3/22/21,136890,136890
Indiana,3/22/21,88920,88920
Michigan,3/22/21,135720,135720
Minnesota,3/22/21,74880,74880
Ohio,3/22/21,157950,157950
Wisconsin,3/22/21,79560,79560
Arkansas,3/22/21,39780,39780
Louisiana,3/22/21,62010,62010
New Mexico,3/22/21,29250,29250
Oklahoma,3/22/21,52650,52650
Texas,3/22/21,359190,359190
Iowa,3/22/21,42120,42120
Kansas,3/22/21,38610,38610
Missouri,3/22/21,83070,83070
Nebraska,3/22/21,25740,25740
Colorado,3/22/21,74880,74880
Montana,3/22/21,15210,15210
North Dakota,3/22/21,10530,10530
South Dakota,3/22/21,11700,11700
Utah,3/22/21,37440,37440
Wyoming,3/22/21,8190,8190
Arizona,3/22/21,93600,93600
California,3/22/21,524160,524160
Hawaii,3/22/21,19890,19890
Nevada,3/22/21,39780,39780
American Samoa,3/22/21,0,0
Guam,3/22/21,0,0
Marshall Islands,3/22/21,0,0
Micronesia,3/22/21,0,0
Mariana Islands,3/22/21,0,0
Palau,3/22/21,0,0
Alaska,3/22/21,0,0
Idaho,3/22/21,22230,22230
Oregon,3/22/21,57330,57330
Washington,3/22/21,100620,100620
Federal Entities,3/22/21,195390,195390
Connecticut,3/15/21,49140,49140
Maine,3/15/21,18720,18720
Massachusetts,3/15/21,93600,93600
New Hampshire,3/15/21,18720,18720
Rhode Island,3/15/21,15210,15210
Vermont,3/15/21,9360,9360
New Jersey,3/15/21,119340,119340
New York,3/15/21,150930,150930
New York City,3/15/21,114660,114660
Puerto Rico,3/15/21,46800,46800
U.S. Virgin Islands,3/15/21,2340,2340
Delaware,3/15/21,12870,12870
District of Columbia,3/15/21,10530,10530
Maryland,3/15/21,80730,80730
Pennsylvania,3/15/21,153270,153270
Philadelphia,3/15/21,22230,22230
Virginia,3/15/21,112320,112320
West Virginia,3/15/21,25740,25740
Alabama,3/15/21,65520,65520
Florida,3/15/21,281970,281970
Georgia,3/15/21,134550,134550
Kentucky,3/15/21,59670,59670
Mississippi,3/15/21,39780,39780
North Carolina,3/15/21,135720,135720
South Carolina,3/15/21,66690,66690
Tennessee,3/15/21,88920,88920
Chicago,3/15/21,36270,36270
Illinois,3/15/21,134550,134550
Indiana,3/15/21,87750,87750
Michigan,3/15/21,133380,133380
Minnesota,3/15/21,73710,73710
Ohio,3/15/21,155610,155610
Wisconsin,3/15/21,78390,78390
Arkansas,3/15/21,39780,39780
Louisiana,3/15/21,62010,62010
New Mexico,3/15/21,28080,28080
Oklahoma,3/15/21,51480,51480
Texas,3/15/21,353340,353340
Iowa,3/15/21,42120,42120
Kansas,3/15/21,38610,38610
Missouri,3/15/21,80730,80730
Nebraska,3/15/21,25740,25740
Colorado,3/15/21,73710,73710
Montana,3/15/21,14040,14040
North Dakota,3/15/21,10530,10530
South Dakota,3/15/21,11700,11700
Utah,3/15/21,37440,37440
Wyoming,3/15/21,8190,8190
Arizona,3/15/21,92430,92430
California,3/15/21,515970,515970
Hawaii,3/15/21,19890,19890
Nevada,3/15/21,38610,38610
American Samoa,3/15/21,0,0
Guam,3/15/21,0,0
Marshall Islands,3/15/21,0,0
Micronesia,3/15/21,0,0
Mariana Islands,3/15/21,0,0
Palau,3/15/21,0,0
Alaska,3/15/21,0,0
Idaho,3/15/21,22230,22230
Oregon,3/15/21,56160,56160
Washington,3/15/21,98280,98280
Federal Entities,3/15/21,182520,182520
Connecticut,3/8/21,45630,45630
Maine,3/8/21,17550,17550
Massachusetts,3/8/21,87750,87750
New Hampshire,3/8/21,17550,17550
Rhode Island,3/8/21,14040,14040
Vermont,3/8/21,8190,8190
New Jersey,3/8/21,111150,111150
New York,3/8/21,140400,140400
New York City,3/8/21,106470,106470
Puerto Rico,3/8/21,43290,43290
U.S. Virgin Islands,3/8/21,2340,2340
Delaware,3/8/21,12870,12870
District of Columbia,3/8/21,9360,9360
Maryland,3/8/21,74880,74880
Pennsylvania,3/8/21,141570,141570
Philadelphia,3/8/21,19890,19890
Virginia,3/8/21,105300,105300
West Virginia,3/8/21,23400,23400
Alabama,3/8/21,60840,60840
Florida,3/8/21,262080,262080
Georgia,3/8/21,125190,125190
Kentucky,3/8/21,54990,54990
Mississippi,3/8/21,36270,36270
North Carolina,3/8/21,126360,126360
South Carolina,3/8/21,62010,62010
Tennessee,3/8/21,83070,83070
Chicago,3/8/21,33930,33930
Illinois,3/8/21,125190,125190
Indiana,3/8/21,80730,80730
Michigan,3/8/21,124020,124020
Minnesota,3/8/21,67860,67860
Ohio,3/8/21,143910,143910
Wisconsin,3/8/21,72540,72540
Arkansas,3/8/21,37440,37440
Louisiana,3/8/21,57330,57330
New Mexico,3/8/21,25740,25740
Oklahoma,3/8/21,47970,47970
Texas,3/8/21,328770,328770
Iowa,3/8/21,38610,38610
Kansas,3/8/21,35100,35100
Missouri,3/8/21,76050,76050
Nebraska,3/8/21,23400,23400
Colorado,3/8/21,69030,69030
Montana,3/8/21,14040,14040
North Dakota,3/8/21,10530,10530
South Dakota,3/8/21,10530,10530
Utah,3/8/21,35100,35100
Wyoming,3/8/21,8190,8190
Arizona,3/8/21,85410,85410
California,3/8/21,479700,479700
Hawaii,3/8/21,18720,18720
Nevada,3/8/21,36270,36270
American Samoa,3/8/21,0,0
Guam,3/8/21,0,0
Marshall Islands,3/8/21,0,0
Micronesia,3/8/21,0,0
Mariana Islands,3/8/21,0,0
Palau,3/8/21,0,0
Alaska,3/8/21,0,0
Idaho,3/8/21,19890,19890
Oregon,3/8/21,51480,51480
Washington,3/8/21,91260,91260
Federal Entities,3/8/21,230490,221130
Alabama,3/1/21,54990,54990
Alaska,3/1/21,53820,53820
American Samoa,3/1/21,9360,0
Arizona,3/1/21,78390,78390
Arkansas,3/1/21,33930,33930
California,3/1/21,438750,438750
Chicago,3/1/21,31590,31590
Colorado,3/1/21,63180,63180
Connecticut,3/1/21,42120,42120
Delaware,3/1/21,11700,11700
District of Columbia,3/1/21,9360,9360
Federal Entities,3/1/21,209430,190710
Florida,3/1/21,239850,239850
Georgia,3/1/21,114660,114660
Guam,3/1/21,21060,0
Hawaii,3/1/21,16380,16380
Idaho,3/1/21,18720,18720
Illinois,3/1/21,114660,114660
Indiana,3/1/21,74880,74880
Iowa,3/1/21,35100,35100
Kansas,3/1/21,32760,32760
Kentucky,3/1/21,50310,50310
Louisiana,3/1/21,52650,52650
Maine,3/1/21,16380,16380
Mariana Islands,3/1/21,9360,0
Marshall Islands,3/1/21,0,0
Maryland,3/1/21,69030,69030
Massachusetts,3/1/21,79560,79560
Michigan,3/1/21,113490,113490
Micronesia,3/1/21,0,0
Minnesota,3/1/21,62010,62010
Mississippi,3/1/21,33930,33930
Missouri,3/1/21,69030,69030
Montana,3/1/21,12870,12870
Nebraska,3/1/21,22230,22230
Nevada,3/1/21,33930,33930
New Hampshire,3/1/21,16380,16380
New Jersey,3/1/21,101790,101790
New Mexico,3/1/21,24570,24570
New York,3/1/21,128700,128700
New York City,3/1/21,98280,98280
North Carolina,3/1/21,115830,115830
North Dakota,3/1/21,9360,9360
Ohio,3/1/21,132210,132210
Oklahoma,3/1/21,43290,43290
Oregon,3/1/21,47970,47970
Palau,3/1/21,0,0
Pennsylvania,3/1/21,129870,129870
Philadelphia,3/1/21,18720,18720
Puerto Rico,3/1/21,39780,39780
Rhode Island,3/1/21,12870,12870
South Carolina,3/1/21,57330,57330
South Dakota,3/1/21,10530,10530
Tennessee,3/1/21,76050,76050
Texas,3/1/21,300690,300690
U.S. Virgin Islands,3/1/21,2340,2340
Utah,3/1/21,31590,31590
Vermont,3/1/21,8190,8190
Virginia,3/1/21,95940,95940
Washington,3/1/21,84240,84240
West Virginia,3/1/21,22230,22230
Wisconsin,3/1/21,66690,66690
Wyoming,3/1/21,7020,7020
Alabama,2/22/21,47970,47970
Alaska,2/22/21,0,0
American Samoa,2/22/21,0,0
Arizona,2/22/21,69030,69030
Arkansas,2/22/21,29250,29250
California,2/22/21,382590,382590
